,Gender,Age,Income,Holding Period,Debt Amount,First Time Investing,Credit Score,Education Level,Investment Amount,Crypto Output
0,Female,18-39,"90,000-109,999",Scalp Trader,"$50,000-99,999",No,690-719,High School,"$1,000-79,999",0
1,Female,60+,"130,000+",One Day,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",1
2,Male,60+,"90,000-109,999",One Day,"100,000-149,999",Yes,720-850,High School,"$80,000-149,999",0
3,Male,60+,"50,000-69,999",Intraday Trader,"$10,000-49,999",Not sure,630-689,Bachelors,"$80,000-149,999",0
4,Male,40-59,"50,000-69,999",Intraday Trader,"$150,000+",Yes,690-719,PhD,"$80,000-149,999",2
5,Male,18-39,"90,000-109,999",Position Trader,"100,000-149,999",No,690-719,High School,"$80,000-149,999",2
6,Male,18-39,"130,000+",Position Trader,"$50,000-99,999",Yes,720-850,Bachelors,"$1,000-79,999",0
7,Male,18-39,"20,000-49,000",One Day,"$150,000+",No,300-629,Bachelors,"$80,000-149,999",1
8,Female,18-39,"90,000-109,999",Intraday Trader,"100,000-149,999",Yes,690-719,High School,"$1,000-79,999",1
9,Female,40-59,"50,000-69,999",Position Trader,"100,000-149,999",No,630-689,Bachelors,"$1,000-79,999",1
10,Female,40-59,"110,000-129,999",Position Trader,"100,000-149,999",No,720-850,Bachelors,"$80,000-149,999",0
11,Female,40-59,"130,000+",One Day,"$50,000-99,999",No,690-719,PhD,"$80,000-149,999",2
12,Male,60+,"70,000-89,999",Intraday Trader,"100,000-149,999",Yes,630-689,Masters,"$1,000-79,999",2
13,Other,40-59,"50,000-69,999",Scalp Trader,"$150,000+",Yes,300-629,Bachelors,"$1,000-79,999",2
14,Male,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",Yes,690-719,Masters,"$80,000-149,999",1
15,Female,18-39,"50,000-69,999",Scalp Trader,"$150,000+",Not sure,720-850,High School,"$1,000-79,999",0
16,Female,18-39,"50,000-69,999",One Day,"100,000-149,999",Yes,630-689,Masters,"$80,000-149,999",2
